fraction	superkingdom	phylum	class	order	family	genus	species
0.00018968390532063354	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Butyricicoccaceae	g__Butyricicoccus	s__Butyricicoccus sp004552245
0.00018968390532063354	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__Eubacterium_R	s__Eubacterium_R sp900548085
0.0001761350549405883	d__Bacteria	p__Planctomycetota	c__Planctomycetia	o__Pirellulales	f__Thermoguttaceae	g__RUG369	s__RUG369 sp004556055
0.0001761350549405883	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter sp022763735
0.0001761350549405883	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__CAG-272	g__Apopatosoma	s__Apopatosoma sp900551005
0.0001761350549405883	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Vescimonas	s__Vescimonas sp900554275
0.0001761350549405883	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp029225225
0.0001761350549405883	d__Bacteria	p__Bacillota	c__Clostridia	o__Christensenellales	f__CAG-138	g__RUG472	s__RUG472 sp900545265
0.00017613505494058827	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__UBA6382	s__UBA6382 sp945827465
0.00017613505494058827	d__Bacteria	p__Actinomycetota	c__Actinomycetes	o__Actinomycetales	f__Actinomycetaceae	g__Pauljensenia	s__Pauljensenia hyovaginalis
0.00016258620456054306	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp000432515
0.00016258620456054303	d__Bacteria	p__Verrucomicrobiota	c__Lentisphaeria	o__Victivallales	f__UBA1829	g__UBA11452	s__UBA11452 sp003526375
0.00016258620456054303	d__Bacteria	p__Bacillota	c__Clostridia	o__Christensenellales	f__UBA1750	g__Spyradocola	s__Spyradocola sp034113365
0.00016258620456054303	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-533	s__CAG-533 sp000434495
0.00016258620456054303	d__Bacteria	p__Bacillota	c__Clostridia	o__Christensenellales	f__CAG-138	g__PeH17	s__PeH17 sp900542285
0.00016258620456054303	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-533	s__CAG-533 sp900553855
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Bacilli	o__RF39	f__UBA660	g__CAG-1000	s__CAG-1000 sp000436975
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp900766315
0.00014903735418049779	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Muribaculaceae	g__SFTJ01	s__SFTJ01 sp905210415
0.00014903735418049779	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__UBA932	g__Cryptobacteroides	s__Cryptobacteroides sp034089285
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__TANB77	f__CAG-508	g__CAG-452	s__CAG-452 sp000434035
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Oscillospiraceae	g__Faecousia	s__Faecousia sp029003235
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__Christensenellales	f__Maliibacteriaceae	g__RGIG9107	s__RGIG9107 sp934613185
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Suilimivivens	s__Suilimivivens sp945868485
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__Peptostreptococcales	f__Anaerovoracaceae	g__Lentihominibacter	s__Lentihominibacter sp030526355
0.00014903735418049779	d__Bacteria	p__Bacillota	c__Clostridia	o__Oscillospirales	f__Acutalibacteraceae	g__RUG420	s__RUG420 sp900542575
