query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR11125891,family,0.06965006729475101,Eukaryota;Chordata;Mammalia;Artiodactyla;Suidae,028a6fec,-,0.027341580066931326,16560000,0.9491004669490881,73807
SRR11125891,family,0.04601278600269178,d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,028a6fec,-,0.04666224070887585,10940000,0.9414167734282712,73807
SRR11125891,family,0.029819986541049805,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae,028a6fec,-,0.15299361849147103,7090000,0.9334442423380699,73807
SRR11125891,family,0.028642328398384934,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,028a6fec,-,0.01501212622109014,6810000,0.9327070536956474,73807
SRR11125891,family,0.02464670255720054,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae,028a6fec,-,0.0208381318845096,5860000,0.9299634057057057,73807
SRR11125891,family,0.024268169582772548,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__CAG-138,028a6fec,-,0.05655290148630889,5770000,0.9296812224467713,73807
SRR11125891,family,0.02355316285329745,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,028a6fec,-,0.015540531385911906,5600000,0.9291362338993492,73807
SRR11125891,family,0.020945491251682373,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae,028a6fec,-,0.07370574606744616,4980000,0.9270010090443669,73807
SRR11125891,family,0.01985195154777928,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,028a6fec,-,0.0646415651631959,4720000,0.9260268779795019,73807
SRR11125891,family,0.01699192462987887,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae,028a6fec,-,0.019252916390044304,4040000,0.9232065434310396,73807
SRR11125891,family,0.015940444145356662,d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Aristaeellaceae,028a6fec,-,0.006855718292302899,3790000,0.9220509298711956,73807
SRR11125891,family,0.01577220726783311,d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,028a6fec,-,0.009335157911851182,3750000,0.9218591238332967,73807
SRR11125891,family,0.012996298788694483,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae,028a6fec,-,0.007926077472326473,3090000,0.9183665826186117,73807
SRR11125891,family,0.010094212651413192,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932,028a6fec,-,0.007072499898383622,2400000,0.9138273789032101,73807
SRR11125891,family,0.009168909825033647,d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,028a6fec,-,0.005812456813039412,2180000,0.91210627832548,73807
SRR11125891,family,0.007823014804845221,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae,028a6fec,-,0.027165445011990735,1860000,0.9092715669002684,73807
SRR11125891,family,0.006519179004037685,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae,028a6fec,-,0.0026962212256290054,1550000,0.9060267858293787,73807
SRR11125891,family,0.005972409152086138,d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae,028a6fec,-,0.002533635021068462,1420000,0.9044719217686659,73807
SRR11125891,family,0.005467698519515478,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae,028a6fec,-,0.003048491335510182,1300000,0.9029074296590366,73807
SRR11125891,family,0.005215343203230148,d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae,028a6fec,-,0.002736867776769141,1240000,0.902071248839906,73807
SRR11125891,family,0.0050891655450874835,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,028a6fec,-,0.004227241318574119,1210000,0.901638163717718,73807
SRR11125891,family,0.004584454912516823,d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660,028a6fec,-,0.003143333288170499,1090000,0.8997935924947901,73807
SRR11125891,family,0.0042479811574697175,d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae,028a6fec,-,0.0024252442180281004,1010000,0.898449716766627,73807
SRR11125891,family,0.0038273889636608344,d__Bacteria;p__Bacillota;c__Peptococcia;o__Peptococcales;f__Peptococcaceae,028a6fec,-,0.0020458764073868333,910000,0.8966148620469877,73807
SRR11125891,family,0.003490915208613728,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae,028a6fec,-,0.0015852154944652947,830000,0.8949985654802414,73807
